version,ticker,entry_date,exit_date,entry,init_stop,shares,risk_dollars,pnl,R,pct,days_held,partial_taken,exit_reason
EMA exit only after +2R partial,INTU,2011-01-03,2011-01-05,49.729679999999995,48.81114,108,99.20231999999925,-104.47392311999903,-1.0531399176954714,-0.019452189115232416,2,False,stop
EMA exit only after +2R partial,TMUS,2011-01-03,2011-01-10,25.545519999999996,24.6753,114,99.20507999999957,96.19368563999947,0.9696447564983557,0.03303139885193159,5,True,breakeven_stop
EMA exit only after +2R partial,TMUS,2011-01-11,2011-01-19,26.64662,25.51446,77,87.17631999999992,-89.14093341999993,-1.0225360903052574,-0.04344545236881823,5,False,stop
EMA exit only after +2R partial,UNP,2011-01-07,2011-01-20,46.77672999999999,45.94401,121,100.75911999999937,94.16648926999943,0.93457038201604,0.016637234977998506,8,True,breakeven_stop
EMA exit only after +2R partial,BKNG,2011-01-05,2011-01-21,16.721504799999998,15.9512328,132,101.6759039999998,36.15252960000035,0.35556634539487764,0.016379076122383592,11,False,time_stop
EMA exit only after +2R partial,UNP,2011-01-21,2011-01-25,47.79274499999999,46.51344,78,99.78578999999895,-103.41383831999882,-1.0363583664567861,-0.027740997927614013,2,False,stop
EMA exit only after +2R partial,SBUX,2011-01-10,2011-01-26,16.44643,15.879105,180,102.11850000000005,61.51769999999978,0.6024148415811018,0.020780497652073963,11,False,time_stop
EMA exit only after +2R partial,GOOGL,2011-01-28,2011-01-31,15.523507999999998,15.0307542,113,55.6811793999997,-57.37965462459967,-1.0305035784604804,-0.03271068331977522,1,False,stop
EMA exit only after +2R partial,REGN,2011-01-26,2011-02-10,33.78375,32.907059999999994,89,78.0254100000003,56.23020000000049,0.7206652294425657,0.018701298701298864,11,False,time_stop
EMA exit only after +2R partial,TMO,2011-02-10,2011-02-17,57.01696,55.144800000000004,53,99.22447999999967,-102.14715439999972,-1.0294551747713876,-0.03380230724331839,5,False,stop
EMA exit only after +2R partial,AAPL,2011-02-01,2011-02-22,12.201489299999999,11.749030175164535,139,62.891818352129484,0.818862900000175,0.013020181662030905,0.0004828181097533118,14,False,time_stop
EMA exit only after +2R partial,ORCL,2011-02-17,2011-02-22,33.17314,32.57739,89,53.021749999999585,-55.9211377099996,-1.0546829878304664,-0.01894084762551858,2,False,stop
EMA exit only after +2R partial,BKNG,2011-01-25,2011-02-23,17.0914744,16.62336,213,99.70836719999946,119.97107266079942,1.2032197099382456,0.03295470357934204,20,True,close_below_ema20
EMA exit only after +2R partial,MU,2011-02-25,2011-03-09,11.15114,10.310813544642002,63,52.940566687553854,-53.590147940866295,-1.0122700094456138,-0.0762825387272189,8,False,stop
EMA exit only after +2R partial,SPGI,2011-03-09,2011-03-10,36.157221099999994,35.4423222,86,61.48130539999951,-64.52934510919934,-1.0495766914734352,-0.02075218170458328,1,False,stop
EMA exit only after +2R partial,COP,2011-01-21,2011-03-11,51.797746,50.6585907,64,72.90593919999992,210.9141677887999,2.892962769606569,0.06362311347872161,34,True,close_below_ema20
EMA exit only after +2R partial,ICE,2011-02-24,2011-03-14,24.660635999999997,24.13584,195,102.33521999999901,134.6276958839992,1.315555835850067,0.027995970599897148,12,True,close_below_ema20
EMA exit only after +2R partial,CMCSA,2011-03-11,2011-03-14,11.722110399999998,11.4177708,348,105.91018079999955,-109.88356503839941,-1.0375165466472311,-0.026936904706169492,1,False,stop
EMA exit only after +2R partial,AAPL,2011-03-14,2011-03-15,12.626213599999998,12.3055821,327,104.8465004999992,-137.51380049999915,-1.3115726308862374,-0.033306224124071325,1,False,stop_gap
EMA exit only after +2R partial,REGN,2011-02-25,2011-03-16,36.67664,34.73523,53,102.89472999999987,94.59758000000011,0.9193627312108232,0.048664763184413894,13,False,time_stop
EMA exit only after +2R partial,BKNG,2011-03-16,2011-03-18,18.592574,18.031950000000002,182,102.03356799999948,-105.31538289999966,-1.032164070749738,-0.031122960704633915,2,False,stop
EMA exit only after +2R partial,COP,2011-03-18,2011-04-04,59.4209616,56.1467886157017,31,101.49936251324718,46.603946100000165,0.4591550621208843,0.025300046642126463,11,False,time_stop
EMA exit only after +2R partial,DHR,2011-03-18,2011-04-08,33.9625286,32.8739931,62,67.48920099999994,69.05931380000008,1.0232646523700903,0.03279673057087985,15,False,time_stop
EMA exit only after +2R partial,BX,2011-04-04,2011-04-12,17.966949,17.2839987,157,107.22319709999971,-109.93678489589998,-1.0253078426058262,-0.038973467264809394,6,False,stop
EMA exit only after +2R partial,CVX,2011-03-14,2011-04-13,100.85074999999999,97.5024,30,100.45049999999989,157.7410500000002,1.5703361357086363,0.05213679620627519,22,True,close_below_ema20
EMA exit only after +2R partial,CAT,2011-03-16,2011-04-13,101.8017,96.91299000000001,20,97.77419999999978,156.47130000000004,1.6003332167381619,0.0768510250811136,20,True,close_below_ema20
EMA exit only after +2R partial,TMUS,2011-02-09,2011-04-19,26.025999999999996,25.2747,73,54.84489999999978,282.5669503999998,5.152109866186299,0.14872743189371213,48,True,close_below_ema20
EMA exit only after +2R partial,ISRG,2011-04-19,2011-04-25,39.817577799999995,38.8555056,71,68.3071261999996,-71.06586709759941,-1.0403873073143548,-0.02513783511964386,3,False,stop
EMA exit only after +2R partial,VRTX,2011-04-08,2011-04-26,47.29725,46.10385,84,100.24559999999974,96.17238539999961,0.9593676470588222,0.024206679035250367,11,True,breakeven_stop
EMA exit only after +2R partial,FISV,2011-04-12,2011-04-28,15.72571,15.329655,172,68.12145999999979,47.43286999999977,0.6962984938960486,0.01753641012075122,11,False,time_stop
EMA exit only after +2R partial,LOW,2011-04-28,2011-05-03,26.816789999999997,25.88409,102,95.13539999999969,-97.77557717999986,-1.0277517851399183,-0.035745668665041516,3,False,stop
EMA exit only after +2R partial,REGN,2011-04-13,2011-05-05,43.94389999999999,41.78817,49,105.63076999999957,192.77916135999982,1.825028458658406,0.08952934535131545,15,True,close_below_ema20
EMA exit only after +2R partial,XOM,2011-04-21,2011-05-05,85.85576999999999,83.04258830362673,24,67.51636071295832,-69.50938283224536,-1.0295190987523788,-0.03373360095281762,9,False,stop
